FM,Run,Features,Features Refactored,Constraints,Constraints Refactored,Execution time
mg02,1,5,6,0,0,5.6800000000000005e-05
mg02,2,5,6,0,0,3.7300000000000005e-05
mg02,3,5,6,0,0,3.51e-05
mg02,4,5,6,0,0,3.3600000000000004e-05
mg02,5,5,6,0,0,3.0500000000000003e-05
mg02,6,5,6,0,0,3.03e-05
mg02,7,5,6,0,0,3.07e-05
mg02,8,5,6,0,0,2.9900000000000002e-05
mg02,9,5,6,0,0,3.0200000000000002e-05
mg02,10,5,6,0,0,3.04e-05
mg02,11,5,6,0,0,3.2200000000000003e-05
mg02,12,5,6,0,0,3.85e-05
mg02,13,5,6,0,0,3.7500000000000003e-05
mg02,14,5,6,0,0,3.08e-05
mg02,15,5,6,0,0,2.97e-05
mg02,16,5,6,0,0,2.9800000000000003e-05
mg02,17,5,6,0,0,3e-05
mg02,18,5,6,0,0,3e-05
mg02,19,5,6,0,0,2.92e-05
mg02,20,5,6,0,0,2.93e-05
mg02,21,5,6,0,0,2.3500000000000002e-05
mg02,22,5,6,0,0,2.44e-05
mg02,23,5,6,0,0,2.4900000000000002e-05
mg02,24,5,6,0,0,2.47e-05
mg02,25,5,6,0,0,2.5300000000000002e-05
mg02,26,5,6,0,0,2.5900000000000003e-05
mg02,27,5,6,0,0,2.5e-05
mg02,28,5,6,0,0,2.5e-05
mg02,29,5,6,0,0,2.47e-05
mg02,30,5,6,0,0,2.5e-05
